base_name,date,developmental_stage,file_name,is_manual,time
15_07_21_Q_earlyL4_Ch1_22072015_155722,2015-07-22,L4,/Users/ajaver/Desktop/Videos/pratheeban/Results/L4/15_07_22/15_07_21_Q_earlyL4_Ch1_22072015_155722_features.hdf5,False,15:57:22
15_08_12_E2_early_L4_Ch1_12082015_150046,2015-08-12,L4,/Users/ajaver/Desktop/Videos/pratheeban/Results/L4/15_08_12/15_08_12_E2_early_L4_Ch1_12082015_150046_features.hdf5,False,15:00:46
15_08_13_F2_earlyL4_Ch1_13082015_164859,2015-08-13,L4,/Users/ajaver/Desktop/Videos/pratheeban/Results/L4/15_08_13/15_08_13_F2_earlyL4_Ch1_13082015_164859_features.hdf5,False,16:48:59
15_09_23_N2_L4_Ch1_23092015_170335,2015-09-23,L4,/Users/ajaver/Desktop/Videos/pratheeban/Results/L4/15_09_23/15_09_23_N2_L4_Ch1_23092015_170335_features.hdf5,False,17:03:35
15_09_24_O2_earlyL4_Ch1_24092015_155701,2015-09-24,L4,/Users/ajaver/Desktop/Videos/pratheeban/Results/L4/15_09_24/15_09_24_O2_earlyL4_Ch1_24092015_155701_feat_manual.hdf5,True,15:57:01
15_09_24_O2_earlyL4_Ch1_24092015_155701,2015-09-24,L4,/Users/ajaver/Desktop/Videos/pratheeban/Results/L4/15_09_24/15_09_24_O2_earlyL4_Ch1_24092015_155701_features.hdf5,False,15:57:01
L3_midL4_1.25_Ch1_22062016_173942,2016-06-22,L4,/Users/ajaver/Desktop/Videos/pratheeban/Results/L4/16_06_22/L3_midL4_1.25_Ch1_22062016_173942_feat_manual.hdf5,True,17:39:42
L3_midL4_1.25_Ch1_22062016_173942,2016-06-22,L4,/Users/ajaver/Desktop/Videos/pratheeban/Results/L4/16_06_22/L3_midL4_1.25_Ch1_22062016_173942_features.hdf5,False,17:39:42
Y3_L4_1.25_Ch1_22072016_110638,2016-07-22,L4,/Users/ajaver/Desktop/Videos/pratheeban/Results/L4/16_07_22/Y3_L4_1.25_Ch1_22072016_110638_features.hdf5,False,11:06:38
Q4_L4_1.25_Ch1,2016-08-11,L4,/Users/ajaver/Desktop/Videos/pratheeban/Results/L4/16_08_11/Q4_L4_1.25_Ch1_features.hdf5,False,NULL
15_07_14_J_YA_Ch1_16072015_163436,2015-07-16,New_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/New_Adult/15_07_16/15_07_14_J_YA_Ch1_16072015_163436_features.hdf5,False,16:34:36
15_07_17_K_YA_Ch1_17072015_153302,2015-07-17,New_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/New_Adult/15_07_17/15_07_17_K_YA_Ch1_17072015_153302_features.hdf5,False,15:33:02
15_08_14_G2_YA_Ch1_14082015_084030,2015-08-14,New_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/New_Adult/15_08_14/15_08_14_G2_YA_Ch1_14082015_084030_features.hdf5,False,08:40:30
Y3_YA_1.0_Ch1_22072016_174649,2016-07-22,New_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/New_Adult/16_07_22/Y3_YA_1.0_Ch1_22072016_174649_features.hdf5,False,17:46:49
A4_YA_1.0_Ch1_27072016_112528,2016-07-27,New_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/New_Adult/16_07_27/A4_YA_1.0_Ch1_27072016_112528_features.hdf5,False,11:25:28
D4_YA_1.0_Ch1_29072016_120506,2016-07-29,New_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/New_Adult/16_07_29/D4_YA_1.0_Ch1_29072016_120506_features.hdf5,False,12:05:06
15_07_14_J_egglayer_Ch1_17072015_174859,2015-07-17,Old_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/Old_Adult/15_07_17/15_07_14_J_egglayer_Ch1_17072015_174859_features.hdf5,False,17:48:59
15_08_13_E2_EL_Ch1_13082015_111248,2015-08-13,Old_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/Old_Adult/15_08_13/15_08_13_E2_EL_Ch1_13082015_111248_features.hdf5,False,11:12:48
15_08_14_F2_EL_Ch1_14082015_151515,2015-08-14,Old_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/Old_Adult/15_08_14/15_08_14_F2_EL_Ch1_14082015_151515_features.hdf5,False,15:15:15
15_09_24_N2_EL_Ch1_24092015_135449,2015-09-24,Old_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/Old_Adult/15_09_24/15_09_24_N2_EL_Ch1_24092015_135449_features.hdf5,False,13:54:49
R3_ELA_1.0_Ch1_11072016_163900,2016-07-11,Old_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/Old_Adult/16_07_11/R3_ELA_1.0_Ch1_11072016_163900_features.hdf5,False,16:39:00
S3_ELA_1.0_Ch1_14072016_184723,2016-07-14,Old_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/Old_Adult/16_07_14/S3_ELA_1.0_Ch1_14072016_184723_features.hdf5,False,18:47:23
V3_ELA_1.0_Ch1_20072016_181906,2016-07-20,Old_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/Old_Adult/16_07_20/V3_ELA_1.0_Ch1_20072016_181906_features.hdf5,False,18:19:06
W3_ELA_1.0_Ch1_22072016_131149,2016-07-22,Old_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/Old_Adult/16_07_22/W3_ELA_1.0_Ch1_22072016_131149_features.hdf5,False,13:11:49
A4_ELA_1.0_Ch1_27072016_171632,2016-07-27,Old_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/Old_Adult/16_07_27/A4_ELA_1.0_Ch1_27072016_171632_features.hdf5,False,17:16:32
